"url","New column"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/monaco?anio=1990","Francia","7.679"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/monaco?anio=1990","Italia","3.886"
