url;Pases;Pases_link;Idh;Rankin Gi Dh;Var
https://datosmacro.expansion.com/idh;España [+];https://datosmacro.expansion.com/idh/espana;0,891;26º;0
https://datosmacro.expansion.com/idh;Estado de Palestina [+];https://datosmacro.expansion.com/idh/palestina;0,686;119º;3
https://datosmacro.expansion.com/idh;Estados Federados de Micronesia [+];https://datosmacro.expansion.com/idh/micronesia;0,627;131º;0
https://datosmacro.expansion.com/idh;Estados Unidos [+];https://datosmacro.expansion.com/idh/usa;0,924;13º;1
https://datosmacro.expansion.com/idh;Estonia [+];https://datosmacro.expansion.com/idh/estonia;0,871;30º;0
https://datosmacro.expansion.com/idh;Etiopía [+];https://datosmacro.expansion.com/idh/etiopia;0,463;173º;0
https://datosmacro.expansion.com/idh;Filipinas [+];https://datosmacro.expansion.com/idh/filipinas;0,699;113º;2
https://datosmacro.expansion.com/idh;Finlandia [+];https://datosmacro.expansion.com/idh/finlandia;0,92;15º;0
https://datosmacro.expansion.com/idh;Fiyi [+];https://datosmacro.expansion.com/idh/fiyi;0,741;92º;-1
https://datosmacro.expansion.com/idh;Francia [+];https://datosmacro.expansion.com/idh/francia;0,901;24º;0
https://datosmacro.expansion.com/idh;Gabón [+];https://datosmacro.expansion.com/idh/gabon;0,702;110º;1
https://datosmacro.expansion.com/idh;Gambia [+];https://datosmacro.expansion.com/idh/gambia;0,46;174º;1
https://datosmacro.expansion.com/idh;Georgia [+];https://datosmacro.expansion.com/idh/georgia;0,78;70º;-1
https://datosmacro.expansion.com/idh;Ghana [+];https://datosmacro.expansion.com/idh/ghana;0,592;140º;0
https://datosmacro.expansion.com/idh;Granada [+];https://datosmacro.expansion.com/idh/granada;0,772;75º;0
https://datosmacro.expansion.com/idh;Grecia [+];https://datosmacro.expansion.com/idh/grecia;0,87;31º;1
https://datosmacro.expansion.com/idh;Guatemala [+];https://datosmacro.expansion.com/idh/guatemala;0,65;127º;1
https://datosmacro.expansion.com/idh;Guinea [+];https://datosmacro.expansion.com/idh/guinea;0,459;175º;-2
https://datosmacro.expansion.com/idh;Guinea Ecuatorial [+];https://datosmacro.expansion.com/idh/guinea-ecuatorial;0,591;141º;2
https://datosmacro.expansion.com/idh;Guinea-Bisáu [+];https://datosmacro.expansion.com/idh/guinea-bisau;0,455;177º;2
https://datosmacro.expansion.com/idh;Guyana [+];https://datosmacro.expansion.com/idh/guyana;0,654;125º;1
https://datosmacro.expansion.com/idh;Haiti [+];https://datosmacro.expansion.com/idh/haiti;0,498;168º;1
https://datosmacro.expansion.com/idh;Holanda [+];https://datosmacro.expansion.com/idh/holanda;0,931;10º;0
https://datosmacro.expansion.com/idh;Honduras [+];https://datosmacro.expansion.com/idh/honduras;0,617;133º;1
https://datosmacro.expansion.com/idh;Hong Kong [+];https://datosmacro.expansion.com/idh/hong-kong;0,933;7º;-1
https://datosmacro.expansion.com/idh;Hungría [+];https://datosmacro.expansion.com/idh/hungria;0,838;45º;0
https://datosmacro.expansion.com/idh;India [+];https://datosmacro.expansion.com/idh/india;0,64;130º;1
https://datosmacro.expansion.com/idh;Indonesia [+];https://datosmacro.expansion.com/idh/indonesia;0,694;116º;1
https://datosmacro.expansion.com/idh;Irak [+];https://datosmacro.expansion.com/idh/irak;0,685;120º;0
https://datosmacro.expansion.com/idh;Irán [+];https://datosmacro.expansion.com/idh/iran;0,798;60º;-1
